nombre,min_jugados,país,posición,edad
Jacopo Seghetti,0.00,Italia,Arquero,20
Alessandro Nunziante,2746.00,Italia,Arquero,18
Lapo Siviero,1574.00,Italia,Arquero,18
Wisdom Amey,75.00,Italia,Defensa,20
Christian Corradi,990.00,Italia,Defensa,20
Mattia Mannini,1388.00,Italia,Defensa,19
Fellipe Jack,890.00,Italia,Defensa,19
Andrea Natali,2103.00,Italia,Defensa,17
Cristian Cama,1594.00,Italia,Defensa,18
Emanuel Benjamín,421.00,Italia,Defensa,18
Alessandro Berretta,3089.00,Italia,Mediocampista,19
Jacopo Sardo,1573.00,Italia,Mediocampista,20
Lorenzo Riccio,2203.00,Italia,Mediocampista,19
Javison Idele,2026.00,Italia,Mediocampista,18
Emanuele Sala,2696.00,Italia,Mediocampista,17
Okoro Obinna,1903.00,Italia,Delantero,20
Marco Romano,1146.00,Italia,Delantero,19
Mattia Liberali,2513.00,Italia,Delantero,18
Ismael Konaté,1116.00,Italia,Delantero,19
Mattia Mosconi,1913.00,Italia,Delantero,18
Steven Hall,780.00,Australia,Arquero,20
Daniel Graskoski,900.00,Australia,Arquero,19
Panagiotis Kikianis,600.00,Australia,Defensa,19
Joshua Inserra,506.00,Australia,Defensa,19
Sebastian Esposito,576.00,Australia,Defensa,20
James Overy,256.00,Australia,Defensa,18
Zach Lisolajski,329.00,Australia,Defensa,19
Liam Bonetig,0.00,Australia,Defensa,19
Lucas Herrington,212.00,Australia,Defensa,20
Jonny Yull,464.00,Australia,Defensa,19
Alexander Badolato,849.00,Australia,Mediocampista,20
Rhys Youlley,235.00,Australia,Mediocampista,19
Jaylan Pearman,464.00,Australia,Mediocampista,19
Fabian Talladira,1810.00,Australia,Mediocampista,19
Paul Okon,892.00,Australia,Mediocampista,19
Louis Agosti,240.00,Australia,Mediocampista,20
Max Caputo,1223.00,Australia,Delantero,19
Luka Jovanovic,2131.00,Australia,Delantero,19
Musa Toure,811.00,Australia,Delantero,19
Daniel Bennie,724.00,Australia,Delantero,19
Nathan Amanatidis,607.00,Australia,Delantero,19
Tiago Quintal,1237.00,Australia,Delantero,20
Santino Barbi,270.00,Argentina,Arquero,20
Álvaro Busso,0.00,Argentina,Arquero,19
Alain Gómez,0.00,Argentina,Arquero,18
Santiago Fernández,1161.00,Argentina,Defensa,19
Dylan Gorosito,592.00,Argentina,Defensa,18
Tobías Palacio,420.00,Argentina,Defensa,18
Valente Pierani,303.00,Argentina,Defensa,19
Teo Rodríguez,238.00,Argentina,Defensa,20
Juan Villalba,431.00,Argentina,Defensa,19
Valentino Acuña,700.00,Argentina,Mediocampista,19
Tomás Pérez,1368.00,Argentina,Mediocampista,19
Alvaro Montoro,751.00,Argentina,Mediocampista,18
Tobias Andrada,378.00,Argentina,Mediocampista,18
Milton Delgado,826.00,Argentina,Mediocampista,20
Alejo Sarco,196.00,Argentina,Delantero,19
Ian Subiabre,544.00,Argentina,Delantero,18
Maher Carrizo,836.00,Argentina,Delantero,19
Santino Andino,1313.00,Argentina,Delantero,20
Mateo Silvetti,220.00,Argentina,Delantero,19
Duran Ferree,270.00,Estados Unidos,Arquero,19
Adam Beaudry,1770.00,Estados Unidos,Arquero,19
Diego Kochen,1440.00,Estados Unidos,Arquero,19
Joshua Wynder,2449.00,Estados Unidos,Defensa,19
Noah Cobb,2263.00,Estados Unidos,Defensa,19
Matai Akinmboni,809.00,Estados Unidos,Defensa,19
Nolan Norris,2380.00,Estados Unidos,Defensa,20
Ethan Kohler,108.00,Estados Unidos,Defensa,19
Francis Westfield,1715.00,Estados Unidos,Defensa,19
Luca Bombino,1860.00,Estados Unidos,Defensa,19
Reed Baker-Whiting,1358.00,Estados Unidos,Defensa,20
Luke Brennan,1290.00,Estados Unidos,Mediocampista,20
Matthew Corcoran,401.00,Estados Unidos,Mediocampista,20
Brooklyn Raines,1656.00,Estados Unidos,Mediocampista,19
Niko Tsakiris,2060.00,Estados Unidos,Mediocampista,19
Benjamin Cremaschi,1830.00,Estados Unidos,Mediocampista,19
Taha Habroune,1016.00,Estados Unidos,Mediocampista,18
David Vazquez,2104.00,Estados Unidos,Delantero,19
Pedro Soma,2167.00,Estados Unidos,Delantero,19
Serge Ngoma,185.00,Estados Unidos,Delantero,20
Zavier Gozo,1509.00,Estados Unidos,Delantero,19
Cole Campbell,988.00,Estados Unidos,Delantero,18
Marcos Zambrano-Delgado,420.00,Estados Unidos,Delantero,19
Fletcher Lowe,718.00,Sudáfrica,Arquero,18
Takalani Mazhamba,0.00,Sudáfrica,Arquero,18
Kgoleng Ratisani,0.00,Sudáfrica,Arquero,19
Asekho Tiwani,949.00,Sudáfrica,Defensa,20
Neo Rapoo,1517.00,Sudáfrica,Defensa,20
Siviwe Nkwali,810.00,Sudáfrica,Defensa,20
Tylon Smith,0.00,Sudáfrica,Defensa,20
Thato Sibiya,0.00,Sudáfrica,Defensa,19
Sfiso Timba,584.00,Sudáfrica,Defensa,19
Shakeel April,480.00,Sudáfrica,Mediocampista,19
Mfundo Vilakazi,802.00,Sudáfrica,Mediocampista,19
Siviwe Magidigidi,636.00,Sudáfrica,Mediocampista,20
Kutlwano Letlhaku,474.00,Sudáfrica,Mediocampista,19
Patrick Autata,89.00,Sudáfrica,Mediocampista,20
Gomolemo Kekana,0.00,Sudáfrica,Delantero,19
Lazola Maku,630.00,Sudáfrica,Delantero,18
Siyabonga Mabena,73.00,Sudáfrica,Delantero,18
Luke Baartman,429.00,Sudáfrica,Delantero,19
Thabang Mahlangu,93.00,Sudáfrica,Delantero,20
Ahshene Jody Lee,602.00,Sudáfrica,Delantero,19
Langelihle Phili,1168.00,Sudáfrica,Delantero,20
Alexis Mirbach,1216.00,Francia,Arquero,19
Justin Bengui Joao,1080.00,Francia,Arquero,19
Lisandru Olmeta,1980.00,Francia,Arquero,20
Steven Baseya,2184.00,Francia,Defensa,19
Aboubaka Soumahoro,593.00,Francia,Defensa,19
Jaydee Canvot,1587.00,Francia,Defensa,19
Elyaz Zidane,582.00,Francia,Defensa,20
Gady Beyuku,596.00,Francia,Defensa,20
Bradel Kiwa,1343.00,Francia,Defensa,19
Justin Bourgault,1208.00,Francia,Mediocampista,20
Mayssam Benama,612.00,Francia,Mediocampista,19
Dehmaine Assoumani,551.00,Francia,Mediocampista,19
Rabby Nzingoula,1697.00,Francia,Mediocampista,19
Anthony Bermont,1713.00,Francia,Mediocampista,20
Darryl Bakola,0.00,Francia,Mediocampista,20
Aladji Bamba,1165.00,Francia,Mediocampista,19
Khalis Merah,1517.00,Francia,Mediocampista,19
Ilane Touré,2170.00,Francia,Mediocampista,20
Steve Ngoura,705.00,Francia,Delantero,20
Lucas Michel,0.00,Francia,Delantero,19
Joan Tincres,879.00,Francia,Delantero,20
Robinio Vaz,1367.00,Francia,Delantero,19
Keyliane Abdallah,1602.00,Francia,Delantero,18
Mathys Detourbet,1274.00,Francia,Delantero,19
Alexei Rojas,0.00,Colombia,Arquero,20
Jordan García,1980.00,Colombia,Arquero,20
Luis Mena,360.00,Colombia,Arquero,20
Juan David Arizala,770.00,Colombia,Defensa,20
Julián Bazán,557.00,Colombia,Defensa,19
Yeimar Mosquera,734.00,Colombia,Defensa,20
Carlos Sarabia,178.00,Colombia,Defensa,20
Keimer Sandoval,210.00,Colombia,Defensa,20
Weimar Vivas,400.00,Colombia,Defensa,18
Kevin Álvarez,1520.00,Colombia,Mediocampista,20
Simón García,654.00,Colombia,Mediocampista,20
Elkin Rivero,960.00,Colombia,Mediocampista,19
José Cavadía,1097.00,Colombia,Mediocampista,20
Joel Romero,882.00,Colombia,Mediocampista,19
Jhon Rentería,962.00,Colombia,Mediocampista,20
Alejandro Ararat,712.00,Colombia,Mediocampista,19
Kener González,1116.00,Colombia,Mediocampista,20
Jhon Guzmán,2145.00,Colombia,Mediocampista,20
Royner Benítez,490.00,Colombia,Mediocampista,20
Jordan Barrera,745.00,Colombia,Mediocampista,19
Neyser Villareal,0.00,Colombia,Delantero,20
Óscar Perea,689.00,Colombia,Delantero,20
John Montaño,141.00,Colombia,Delantero,19
Emilio Aristizábal,1826.00,Colombia,Delantero,20
Joel Canchimbo,93.00,Colombia,Delantero,20
Rufai Abubakar,0.00,Nigeria,Arquero,17
Ebenezer Harcourt,90.00,Nigeria,Arquero,16
Clinton Ezekiel,1260.00,Nigeria,Arquero,20
Daniel Bameyi,990.00,Nigeria,Defensa,19
Odinaka Okoro,22.00,Nigeria,Defensa,20
Ahmed Akinyele,2518.00,Nigeria,Defensa,19
Azuka Alatan,0.00,Nigeria,Defensa,19
Amos Ochoche,651.00,Nigeria,Defensa,19
Marvelous Freedom,1492.00,Nigeria,Defensa,20
Daniel Daga,1570.00,Nigeria,Mediocampista,18
Israel Ayuma,718.00,Nigeria,Mediocampista,19
Auwal Ibrahim,82.00,Nigeria,Mediocampista,19
Emmanuel Ekele,62.00,Nigeria,Mediocampista,20
Kamaldeen Mustapha,0.00,Nigeria,Mediocampista,19
Sani Suleiman,1400.00,Nigeria,Mediocampista,20
Orseer Achihi,160.00,Nigeria,Delantero,19
Kparobo Arierhi,579.00,Nigeria,Delantero,20
Tahir Maigana,110.00,Nigeria,Delantero,19
Charles Agada,0.00,Nigeria,Delantero,19
Salihu Nasiru,1297.00,Nigeria,Delantero,20
Abdullahi Shitu,0.00,Nigeria,Delantero,19
Magnus Brondbo,1530.00,Noruega,Arquero,20
Sander Østraat,1170.00,Noruega,Arquero,20
Einar Fauskanger,1170.00,Noruega,Arquero,17
Hakon Rosten,1970.00,Noruega,Defensa,20
Rasmus Holten,1243.00,Noruega,Defensa,20
Vetle Auklend,1024.00,Noruega,Defensa,20
Jonathan Norbye,3287.00,Noruega,Defensa,18
Tobias Moi,325.00,Noruega,Defensa,19
Mathias Øren,661.00,Noruega,Defensa,19
Luca Høyland,1517.00,Noruega,Defensa,19
Ola Visted,2012.00,Noruega,Mediocampista,20
Kasper Sætherbø,1152.00,Noruega,Mediocampista,20
Sondre Granaas,1189.00,Noruega,Mediocampista,19
Lars Remmem,978.00,Noruega,Mediocampista,19
Martin Håheim-Elveseter,1213.00,Noruega,Delantero,19
David De Ornelas,1361.00,Noruega,Delantero,17
Magnus Holte,277.00,Noruega,Delantero,19
Casper Andersen,9.00,Noruega,Delantero,20
Bork Bang-Kittilsen,330.00,Noruega,Delantero,20
Markus Haaland,899.00,Noruega,Delantero,20
